Reading additional input from stdin...
OpenAI Codex v0.133.0
--------
workdir: C:\Users\koosh\Dino\.claude\worktrees\swapguard
model: gpt-5.3-codex-spark
provider: openai
approval: never
sandbox: danger-full-access
reasoning effort: low
reasoning summaries: none
session id: 019e80d2-a918-7061-a740-8dc004cee17e
--------
user
P0 CRASH HARDENING (DINOForge). DINO crashed on skirmish load: AssetSwapSystem swapped a mesh whose Material used the built-in 'Standard' shader into a live entity; DINO's Hybrid Renderer V2 (HRV2/URP) only accepts SRP-Batcher-compatible URP shaders, so the renderer faulted -> native crash (no managed exception). A bad material must NEVER crash the game. Branch fix/swap-shader-guard-20260531. NO push/stash/--no-verify; git add only specific files. 

FIX in src/Runtime/Bridge/AssetSwapSystem.cs: before assigning a swapped Material to a live ECS entity (in the Material-resolve/apply path — find where ResolveReplacementAssets returns a Material and where it's set on RenderMesh), VALIDATE shader compatibility: check the material's shader is URP/SRP-Batcher compatible — e.g. material.shader.name starts with "Universal Render Pipeline/" OR FindPassTagValue/shader has SRP batcher support. If the shader is NOT URP-compatible (e.g. 'Standard', 'Legacy', 'Diffuse', built-in), SKIP that material swap (keep the mesh swap if mesh is fine, or skip both), LOG ONCE per bundle ('[AssetSwap] skipped material swap for X: shader Y not HRV2-compatible'), and continue — never assign it. Add a static HashSet to log-once. netstandard2.0. Build: dotnet build src/Runtime/DINOForge.Runtime.csproj -c Release -p:TargetFramework=netstandard2.0 — exit 0. DO NOT deploy. Commit. CHANGELOG. Report: the guard code (file+lines), build exit, plainly: can a non-URP material now crash the renderer? NO expected.
codex
I’ll apply the guard in the `ResolveReplacementAssets`/`RenderMesh` assignment path inside `AssetSwapSystem.cs`, add a netstandard2.0-compatible one-time-per-bundle skip log, update `CHANGELOG.md`, then run the exact release build command and commit only touched files.
exec
"C:\\Program Files\\PowerShell\\7\\pwsh.exe" -Command 'rg -n "ResolveReplacementAssets|RenderMesh|AssetSwapSystem|Apply|material|shader" src/Runtime/Bridge/AssetSwapSystem.cs' in C:\Users\koosh\Dino\.claude\worktrees\swapguard
 succeeded in 738ms:
28:    ///   4. The system also applies RenderMesh visual swaps for ECS entities matching
37:    ///   - Visual data is stored in RenderMesh shared components.
43:    ///   1. Build a test AssetBundle with a replacement mesh/material.
   90: - **AssetSwap aerial units: `aerial_fighter` no longer stuck in DIAGNOSTIC MODE (#101, BUG B).** `vanilla_mapping='aerial_fighter'` produced no archetype filter (PackStatMappings intentionally maps it to null for stat injection — `AerialSpawnSystem` owns aerial behaviour) AND no mesh-name substrings → `sw-tri-fighter`/`sw-nantex-fighter` skipped the swap. Fix: new `AssetSwapSystem.TryResolveSwapArchetype()` resolves `aerial_fighter` to `DINOForge.Runtime.Aviation.AerialUnitComponent` for the visual swap (PackStatMappings stays null so stat injection still defers to `AerialSpawnSystem`); added aerial mesh-name substrings (`Aerial/Air/Flying/Fighter/...`) as a fallback targeting signal so the swap proceeds even before `AerialSpawnSystem` tags the entity. (`src/Runtime/Bridge/AssetSwapSystem.cs`, `src/Runtime/Bridge/PackStatMappings.cs`)
   91: - **Projectile recolour: same ComponentType→Int32 reflection bug in BlasterBolt (#101).** `ProjectileMeshSwapSystem.RecolourProjectile` ([BlasterBolt]) had the identical `GetSharedComponentData` overload bug, throwing ~22k `Recolour failed on projectile … cannot be converted to Int32` log lines per run and leaving blaster bolts native-coloured. Same fix: pass `ComponentType.TypeIndex` (int) when the bound overload is `(Entity, int)`. (`src/Runtime/Bridge/ProjectileMeshSwapSystem.cs`)
   92: - **AssetSwap buildings: structures no longer stuck in DIAGNOSTIC MODE (#101, building fix).** Pack buildings (e.g. `sw-cis-command-center`, `sw-rep-vehicle-bay`, `sw-cis-droid-factory`) registered their swap with **no** `vanilla_mapping` — `BuildingDefinition` had no such field and `ContentLoader` passed null — so every SW structure fell into DIAGNOSTIC MODE and kept rendering as the native royal/undead building. Fix: added `BuildingDefinition.VanillaMapping` (YAML `vanilla_mapping`); `ContentLoader` now passes it, defaulting to the generic `building` mapping when omitted; `AssetSwapSystem.TryResolveSwapArchetype()` maps `building` → `Components.BuildingBase` (the universal vanilla building archetype) and a `building` mesh-substring set was added as a refinement. Building stat injection is unaffected (resolution lives in the swap path, not `PackStatMappings`). (`src/SDK/Models/BuildingDefinition.cs`, `src/SDK/ContentLoader.cs`, `src/Runtime/Bridge/AssetSwapSystem.cs`)
   93: - **Star Wars main-menu wallpaper: removed baked-in loading bar (BUG A, #978).** `packs/warfare-starwars/assets/ui/menu_bg.png` was rasterized from a *loading-screen* SVG (`ui/loading-republic.svg`), so a static "LOADING MODULE" caption bar + frozen ~68% progress bar were baked into the bottom of the settled main-menu background — a fake progress bar with no load in progress. Added a dedicated clean source `assets/svg/menu-bg.svg` (boot-splash composition minus the lower-third caption/progress layer), re-rendered `menu_bg.png` from it, and repointed `scripts/art/rasterize-menu-takeover.ps1` so the menu wallpaper can never again be generated from a loading SVG.
   94: - **Star Wars loading sequence: live progress layer instead of fake static skeleton (BUG B, #978).** The loading screen previously showed a static image whose progress bar was baked into the background while `LoadingScreenController` pinned the branded overlay on-screen for a fixed `MinVisibleSeconds = 12s` — together producing a ~20s frozen "skeleton". Fixes: clean themed loading background (`assets/svg/ui/loading-bg-clean.svg`, baked bar removed); live indeterminate progress ramp + travelling shimmer in `src/Runtime/UI/LoadingScreenController.cs` (real `SetPackProgress` overrides; snaps to 100% only when done); `MinVisibleSeconds` 12s→1.5s with readiness-driven `BeginFadeOut`; overlay self-destroys once MainMenu is ready.
   95: - **Star Wars live mesh-swap exits DIAGNOSTIC MODE (#964).** `AssetSwapSystem.TrySwapRenderMeshFromBundle` previously referenced a non-existent `BundleToVanillaMeshMap` and tried to match optional mesh-name substrings by *bundle filename*, so every Star Wars bundle fell into DIAGNOSTIC MODE and no entity swap ran. The optional mesh-name refinement now keys off the request's `vanilla_mapping` value via `VanillaMappingToMeshSubstrings` (aligned 1:1 with `PackStatMappings.VanillaMappingToComponentType`). DIAGNOSTIC MODE is now entered only when there is **no** targeting signal at all — neither a resolved archetype filter nor mesh-name substrings — so a populated `vanilla_mapping` (already present on all 30 SW units; aerial intentionally skipped) lets the archetype-narrowed swap proceed. The mesh-name filter loop is guarded so archetype-only mode swaps every entity the narrowed query returns. Mesh/material lookup remains robust via `ResolveReplacementAssets` (exact-name → prefab renderer → `LoadAllAssets<Mesh>/<Material>` fallback — never the bundle key). Key audit: all 30 SW unit `visual_asset` keys resolve in `addressables.yaml`; 14 reference real (>40KB) bundles. Runtime builds netstandard2.0 exit 0; all 31 AssetSwap tests pass.
   96: - **Full-world Star Wars conversion Phase 1 — world-entity swap layer for cims, castle, and all buildings (#975).** Extends the #964 archetype-narrowed mesh swap (which only covered combat units) to the rest of the world, since everything in DINO renders via `Unity.Rendering.RenderMesh`.
   97:   - **Gap A — building swaps now register WITH a `vanilla_mapping`.** `ContentLoader.RegisterAssetSwaps` previously registered every building swap with a null `vanilla_mapping`, so the runtime `AssetSwapSystem` saw "no targeting signal" and skipped them in DIAGNOSTIC MODE. It now resolves a mapping per building in priority order — explicit `building.vanilla_mapping` → `building_type` (command/barracks/resource/defense/tower/wall/research) → generic `"building"` — and threads it into `AssetSwapRequest.VanillaMapping`. New `BuildingDefinition.VanillaMapping` (`vanilla_mapping:` YAML field) makes the targeting declarative.
   98:   - **Gap B — cims (citizens/workers, `bomj_*` meshes) now have a registration path.** Cims are modelled as units carrying `vanilla_mapping: cims`, so the existing unit registration path wires their swap with no new registry or schema. New `packs/warfare-starwars/units/cims.yaml` reskins them to SW worker units (`rep_clone_worker` → Clone Engineer, `cis_worker_droid` → Pilot Droid) using real (non-stub) bundles.
   99:   - **CASTLE / command center** — `rep_command_center` and `cis_tactical_center` now carry explicit `vanilla_mapping: command` (→ `sw-rep-command-center` / `sw-cis-command-center`).
  100:   - `PackStatMappings.VanillaMappingToComponentType` gained entries for `cims`/`worker`/`citizen` (→ `Components.Worker`, candidate archetype — verify via entity dump) and `building`/`command`/`barracks`/`resource`/`economy`/`defense`/`tower`/`wall`/`research` (→ `Components.BuildingBase`). `AssetSwapSystem.VanillaMappingToMeshSubstrings` gained matching `bomj`/worker and building (castle/barrack/farm/tower/wall/…) mesh-name substrings so swaps still exit DIAGNOSTIC MODE via the secondary mesh-name filter when the archetype type does not resolve. Maps/skybox are Phase 2 (out of scope). Runtime builds netstandard2.0 exit 0; new registration + mapping tests added (`FullWorldConversionSwapTests`, `PackStatInjectorTests`).
  101: - **Reliable in-process frame capture in all game states (menu + in-game + loading) — #972.** The screenshot RPC previously called `UnityEngine.ScreenCapture.CaptureScreenshot(path)`, which is **asynchronous**: it only queues a deferred end-of-frame capture and Unity writes the PNG on a later frame. The bridge handler returned `Success=true` the moment the request was queued, without ever confirming a file landed on disk, and DINO's custom PlayerLoop never reliably flushed that deferred capture during active gameplay — so the handler reported "saved" while no PNG existed (it happened to work at the main menu where the stock present path still ran). New `src/Runtime/Bridge/FrameCapture.cs` replaces it with a synchronous, blocking capture: a coroutine on a DontDestroyOnLoad host yields `WaitForEndOfFrame`, calls `ScreenCapture.CaptureScreenshotIntoRenderTexture` (which composites **all cameras + Screen-Space-Overlay UI** into a RenderTexture — exactly what is on screen), `ReadPixels` it back, vertically flips, `EncodeToPNG`, and `File.WriteAllBytes`. A `ManualResetEventSlim` blocks the calling bridge thread until the file is fully written, so `ScreenshotResult.Success`/`Path` now reflect a real on-disk PNG. Wired into `GameBridgeServer.HandleScreenshot` and the `NativeMenuInjector` file-trigger + auto-checkpoint paths; MCP `game_screenshot` Tier 2 (GameControlCli → named pipe) inherits the fix automatically. Added `MainThreadDispatcher.IsMainThread` so callers already on the main thread skip re-marshalling. Verified live against a loaded world (49,152 entities): non-black 2560×1440 PNGs captured (`docs/screenshots/capture-fix-menu-20260530.png`, `docs/screenshots/capture-fix-ingame-20260530.png`). Unblocks the session recorder (#979) and all autonomous vision-verify.
  102: - **MODS button now a real native-equivalent widget with working hover/press/normal feedback.** The injected MODS button previously "acted like the cursor was never over it" — no hover/press/BG visual. Root cause: the clone carried over a transition mode of `None` (DINO defers menu-button visuals to its custom `MainMenuButton : Selectable` script, which was being stripped) and/or had no `targetGraphic`, so Unity's `Selectable` transition had nothing to paint.
  103:   - `NativeUiHelper.CloneButton` now preserves Selectable-derived highlight drivers (`StripNonUiBehaviours(preserveSelectables: true)` + `NeutralizePreservedSelectables`) instead of destroying DINO's `MainMenuButton`, and only severs their click/submit callbacks + navigation so the surviving `Button` owns interaction while native hover visuals can still render.
  104:   - New `NativeUiHelper.EnsureVisibleTransition` forces a `ColorTint` transition (warm-gold SW-palette highlight/pressed tints) whenever the donor's transition was `None`, guaranteeing visible hover/press feedback even when no custom highlight driver survives. Wired into both the Unity-Button path (`NativeMenuInjector.SyncButtonVisualStyle`, after the transition copy) and the Selectable-donor path.
  105:   - `NativeUiHelper.CopySelectableVisualState` (the active DINO `MainMenuButton`-donor path) now also resolves and copies the donor's `targetGraphic` (matched by relative transform path) plus the background `Image` sprite/material/color, so the injected button has a graphic to tint and matching normal-state chrome. The stale dual-`Selectable` (custom + new `Button`) is now removed after the visual-state transfer to stop the two from fighting over pointer events.
  106:   - Live-verified via runtime log: injected button reports `Visual transition after sync: ColorTint (targetGraphic=DINOForge_ModsButton)` (was effectively `None` before).
  107: - **100% page skinning for non-main-menu pages.** `MainMenuThemer` previously skinned only the `MainMenu` canvas, leaving the Options/Settings page, its subpages (GAME/VIDEO/SOUND/CONTROLS/TWITCH), and the game create/select screens rendering as unskinned native. New `MainMenuThemer.ApplyToAuxiliaryMenus` re-skins every active auxiliary menu canvas (color layer: `RestyleSelectables` + label/text recolor + background tint + themed font) the first time each becomes active, tracked by instance id. Driven each pump frame from `Plugin.cs` once a conversion theme is resolved. Live-verified: `AUX-SKIN` applied to `Options` (btn=6 text=171), `SpecialMissions`, `ProfilesList`, `SandBox`, `EndlessMissions`, `CustomMaps`, `Saves`, `Map`, and more.
  108: 
  109: ### Added
  110: - **Real meshes + AssetBundles for 19 previously-stub Star Wars units (#964 / #946 fallback).** Replaced 896/1092-byte stub `model.glb` (and absent meshes) with Blender-generated clean-room parametric silhouettes (walkers, fighters, hovertanks, spider/tripod droids, troopers, gunship), converted to FBX and built into Unity 2021.3.45f1 AssetBundles (filename = `visual_asset` = Addressable key). Covers marquee gaps: `sw-general-grievous`, `sw-rep-at-te-walker`, `sw-tri-fighter`, `sw-aat-walker`/`sw-cis-aat`, `sw-v19-torrent`, `sw-jedi-knight`, `sw-cis-spider-droid`, `sw-rep-laat-gunship`, `sw-droideka`, plus arc/commando/sniper/magna-guard/medical/b1-squad/wall-guard/stap/barc. Bundles are 82–153 KB real geometry (not 90-byte stubs); render-proofs in `docs/screenshots/model-previews/sw-procedural/`. Acquisition strategy (Sketchfab token path, BF2/Frostbite extraction steps, OSS/CC0 sources, legal posture) documented in `docs/sessions/sw-asset-acquisition-20260530.md`. New tooling: `unity-assetbundle-builder/generate_sw_procedural.py`, `render_proof.py`, `Assets/Editor/BuildSwMissingBundles.cs`. Placeholder-grade — meant to be upgraded by higher-fidelity Sketchfab/BF2 sources when the user supplies a token or runs the extractor.
  111: - **Pack buildings injected into DINO's live build menu (vanilla-slot aliasing).** Defining a building in pack YAML was not enough to make it appear/buildable — DINO's build menu is data-driven by compiled config structs (`ScriptableObjectDefinitions.BuildingsCategory` → `BuildingTypeContainer`) keyed by the **closed compiled** `Utility.EnumsStorage.BuildingType` enum, so a brand-new building type cannot be added at runtime. New runtime injection makes pack buildings (warfare-aerial airfields, warfare-starwars `rep_gunship_bay`/`cis_droid_hangar`, warfare-naval) appear + buildable by **aliasing** each onto an existing vanilla buildable slot, then reskinning (mesh-swap, #964) and re-targeting production:
  112:   - `BuildingDefinition.BuildAlias` (`build_alias:` YAML) — optional explicit vanilla `BuildingType` to alias onto.
  113:   - `src/Runtime/Bridge/BuildAliasMapper.cs` — pure, unit-tested alias resolution (explicit `build_alias`, else auto-map by category/id: Production→`Stables`, Defense/AntiAir→`Tower`, naval→`Port`).
  114:   - `src/Runtime/Bridge/BuildMenuInjector.cs` — world-ready reflection injector: discovers the live config object holding `List<BuildingsCategory>` (field-shape scan, host-type-agnostic), validates aliases against the live enum, confirms the slot is present in a menu category, and records alias→pack-building registrations for the reskin/production layers.
  115:   - `src/Runtime/Bridge/BuildMenuInjectionSystem.cs` — one-shot `SystemBase` (SimulationSystemGroup, main-thread, ~30s delay; no MonoBehaviour.Update) that runs the injection in-game.
  116:   - `EntityQueries.ResolveType(string)` helper for resolving game enums / ScriptableObject / UnityEngine types (non-ECS-component CLR types).
  117:   - Wired in `ModPlatform.OnWorldReady` (`GetOrCreateSystem<BuildMenuInjectionSystem>` + `BuildMenuInjector.Initialize`).
  118:   - **Discovery doc**: `docs/sessions/dino-build-catalog-20260530.md` (how DINO's build menu + building catalog work, obtained via live bridge reflection + `DNO.Main.dll` metadata).
  119:   - Tests: `src/Tests/BuildAliasMapperTests.cs` (18 cases).
  120: - **In-process EventSystem input driver (`EventSystemDriver`) — programmatically drives DINO's Unity uGUI EventSystem hover/press/click.** Synthetic OS input (SetCursorPos/SendInput/MCP `game_input`) is NOT delivered to DINO's EventSystem (confirmed: even the native Options button shows no hover under synthetic input), which blocked pixel-verification of all interactive UI. Because DINOForge runs inside the game via BepInEx, the new driver bypasses the OS entirely.
  121:   - **`src/Runtime/UI/EventSystemDriver.cs`** — resolves a target by selector (reusing `UiSelectorEngine` grammar) or by screen coordinates (via the active `GraphicRaycaster`s), then fires the full pointer lifecycle through `ExecuteEvents` (enter → exit / down → up → click) plus drives `Selectable` state (`OnPointerEnter/Exit/Down/Up` + `SetSelectedGameObject`) so DINO's MainMenuButton highlight driver paints hover/press. Runs on the Unity main thread via `MainThreadDispatcher` (EventSystem is main-thread-only); guards `EventSystem.current != null` (Pattern #235). Button.onClick / Toggle fallbacks included.
  122:   - **Bridge RPC `uiPointer`** (`GameBridgeServer`) — `{ target?: selector, x?, y?: screen coords, event: enter|exit|down|up|click|hover|press }`. Client method `GameClient.UiPointerAsync`, CLI `ui-pointer <event> <selector|x=..\ y=..>`, and MCP tool `game_ui_pointer`. This is the in-process path that actually paints hover/press and unblocks vision-verify for interactive UI (#970/#971/#966).
  123: - **In-process Session Recorder (#971) — record a real user playthrough for replay + vision-verify.** New `src/Runtime/Capture/SessionRecorder.cs`: pressing **F11** in-game starts/stops recording of a REAL user session. It captures timestamped pointer (move/down/up) and key events, the widget DINO's `EventSystem` actually resolved (top `RaycastAll` hit path + `currentSelectedGameObject`), and periodic/per-event screen frames, writing a replayable **journey record** (`timeline.json` + `manifest.json` + `frames/*.png`) to `BepInEx/dinoforge_recordings/<session-id>/`.
  124:   - **Why:** synthetic OS input (SendInput / `SetCursorPos` / MCP `game_input`) is not delivered to DINO's Unity `EventSystem`, but real user input is — so we record once and replay in-process (#972) to unblock autonomous vision-verify for all UI/world tasks.
  125:   - **DINO-ECS-safe:** the per-frame sampler runs on the Unity main thread via PlayerLoop injection (no `Update()`); all `EventSystem.current` reads are null-guarded (Pattern #235); the F11 toggle is detected on a Win32 `GetAsyncKeyState` background thread that only flips a flag; frames reuse the proven `ScreenCapture.CaptureScreenshot` path. `netstandard2.0`; compiled only when the game is installed.
  126:   - **Config** (`[SessionRecorder]` BepInEx section): `Enabled` (default true), `FrameIntervalMs` (500), `CaptureFramePerEvent` (true).
  127:   - **Format + replay/embed mapping:** `docs/capture/session-record-format.md`; JSON Schema `schemas/session-record.schema.json`. Maps cleanly to the in-process replay driver (#972) and to `JourneyViewer.vue` journey embeds (#966).
  128: - **Full-page theme skin via `CanvasReskinner`** (`src/Runtime/UI/CanvasReskinner.cs`) — `MainMenuThemer` only themes the MainMenu canvas; the new reskinner walks every OTHER active canvas (Settings + GAME/VIDEO/SOUND/CONTROLS/TWITCH sub-tabs, game create/select) and applies the active total_conversion `ui_theme` colors to each `Selectable` (highlight/press/selected) and `Text`/`TMP_Text` label. Idempotent (per-object marker), re-run on the runtime pump every ~15 frames so lazily-created sub-panels get skinned, and re-armed on scene change via `RunMainMenuInit`. Excludes MainMenu (owned by `MainMenuThemer`) and DINOForge-owned UI.
  129: - **Injected MODS button state-copy now carries the full native frame (#970b)** — the donor `MainMenuButton:Selectable` background `Image` (sprite/material/type/color/PPU/preserveAspect) and `targetGraphic` are now copied onto the clone in `NativeUiHelper.CopySelectableVisualState`, and the Image-copy helper in `NativeMenuInjector` now forwards `material`/`pixelsPerUnitMultiplier`/`preserveAspect`. Previously a custom-shader native frame lost its material on the clone, so the MODS button read as flat/non-reactive on hover/press; it now renders normal/hover/press identically to native menu items.
  130: - **Realistic-GFX mode Phase 2 — PBR material upgrade for the `High` graphics tier (Manor-Lords-like lift).** Builds on the Phase-1 URP post-process PoC (#976). When `[Graphics] Tier = High`, DINOForge now upgrades swapped unit/building materials to the URP/Lit physically-based shader and bumps quality settings; `Tier = Vanilla` remains a strict passthrough. CODE-READY (visible result needs real PBR textures from #973-BF2 + a deploy).
  131:   - **`GraphicsMaterialUpgrader` (`src/Runtime/Graphics/GraphicsMaterialUpgrader.cs`)** — `Upgrade(Material, assetKey)` produces a new `Universal Render Pipeline/Lit` material that carries over the base albedo map + tint and layers in declared PBR maps (albedo `_BaseMap`, metallic+gloss `_MetallicGlossMap`, normal `_BumpMap`, AO `_OcclusionMap`, emission `_EmissionMap`) with the matching shader keywords (`_METALLICSPECGLOSSMAP` / `_NORMALMAP` / `_OCCLUSIONMAP` / `_EMISSION`). Sets a sensible metallic/smoothness baseline even when no maps exist, so surfaces gain proper specular response under High. Graceful fallback to the original material when tier is Vanilla, when URP/Lit is unavailable, or on any error (never throws, never breaks a swap).
  132:   - **`PbrMaterialRegistry` + `PbrTextureSet`** — thread-safe registry mapping a pack `visual_asset` key (or material/mesh name) to its declared PBR texture set. The data contract pack loaders / the asset pipeline populate once BF2/#973 PBR textures arrive; until then the registry is empty and the upgrade degrades to a shader-only lift.
  133:   - **AssetSwap hook (#964 path)** — `AssetSwapSystem.TrySwapRenderMeshFromBundle` now runs the resolved replacement material through `GraphicsMaterialUpgrader.Upgrade(..., assetName)` before applying it to live RenderMesh entities, so SW-swapped units pick up the PBR upgrade automatically when High is active.
  134:   - **Quality-settings bumps (`GraphicsMode`)** — High tier raises shadow resolution (VeryHigh), shadow distance (≥150), cascades (4), and MSAA (4x), captured-and-restored against a vanilla snapshot so toggling back to Vanilla fully reverts. The upgrader's `ActiveTier` is driven from `GraphicsMode` in lock-step with the Phase-1 post-process toggle (reversible).
  135: 
  136: - **Functional aerial content — airports + airplanes (declarative, pack-based).** Added the core aerial gameplay feature on top of the existing Aviation ECS systems (`AerialMovementSystem` / `AerialTargetingSystem` / `AerialSpawnSystem`, driven by `AerialUnitComponent`).
  137:   - **Generic airports (`packs/warfare-aerial/buildings/airfield_buildings.yaml`)** — new `airport` (produces Fighter + Interceptor planes), `hangar` (produces Bomber planes, repair bay), and `landing_pad` (produces Interceptors + integrated `AntiAir` defense). Each declares a `production:` block linking it to its airplane units.
  138:   - **Generic airplanes (`packs/warfare-aerial/units/aerial_units.yaml`)** — new fixed-wing `aerial_fighter_plane`, `aerial_bomber_plane`, and `aerial_interceptor_plane`, each carrying the `Aerial` behavior_tag (so `AerialUnitMapper` attaches `AerialUnitComponent` on spawn) plus an `aerial:` block (cruise_altitude / ascend / descend); fighter + interceptor are `anti_air: true` interceptors.
  139:   - **Star Wars aerial content (real meshes).** Republic `rep_gunship_bay` (Gunship Landing Platform → produces `rep_laat_gunship` + `rep_v19_torrent`, mesh `sw-rep-gunship-bay`) and CIS `cis_droid_hangar` (Droid Starfighter Hangar → produces `cis_tri_fighter` + `cis_nantex_fighter`, mesh `sw-cis-hangar-bay`); wired existing `cis_vulture_nest` to produce `cis_tri_fighter`. New aerial units `rep_laat_gunship` (mesh `sw-rep-laat-gunship`) and `cis_nantex_fighter` (mesh `sw-nantex-fighter`), both referencing real proven-render bundles.
  140:   - **Tests** — extended `AviationStarWarsTests` with airport-produces-aerial-unit and generic-airplane coverage (Groups 7 & 8); updated `Phase3BDroidLODTests` CIS unit count 14→15. All 88 aviation/Phase3B tests pass; PackCompiler `validate` passes for both packs.

2026-06-01T01:46:49.826903Z ERROR codex_core::tools::router: error=apply_patch verification failed: Failed to find expected lines in C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\Runtime\Bridge\AssetSwapSystem.cs:
            if (currentSkinned && !replacementSkinned)
            {
                reason =
                    $"vanilla mesh '{current.name}' has {currentBindposes} bindpose(s) but replacement " +
                    $"'{replacement.name}' is static (0 bindposes) — swap would freeze procedural animation (#973)";
                return false;
            }

            return true;
        }
exec
"C:\\Program Files\\PowerShell\\7\\pwsh.exe" -Command '$path='"'src/Runtime/Bridge/AssetSwapSystem.cs'; "'$lines=Get-Content $path; 1030..1075 | ForEach-Object { '"'{0,5}: {1}' -f "'$_, $lines[$_-1] }' in C:\Users\koosh\Dino\.claude\worktrees\swapguard
 succeeded in 476ms:
 1030: 
 1031:             DebugLog.Write("AssetSwap",
 1032:                 $"TrySwapRenderMeshFromBundle: swapped {swapCount}/{swapBudget} entities (total matching={entities.Length}, " +
 1033:                 $"skipped {skippedNoMatch} non-matching meshes, cap={MaxEntitiesPerSwap})");
 1034:             entities.Dispose();
 1035:             query.Dispose();
 1036: 
 1037:             return swapCount > 0;
 1038:         }
 1039: 
 1040:         // ------------------------------------------------------------------ helpers
 1041: 
 1042:         /// <summary>
 1043:         /// #991 / #973: DINO infantry uses skinned <see cref="Mesh"/> assets (bindposes + bone weights)
 1044:         /// driven by procedural animation. Swapping a static mesh onto those entities freezes the pose.
 1045:         /// </summary>
 1046:         private static bool IsSkinnedMeshCompatible(Mesh current, Mesh replacement, out string? reason)
 1047:         {
 1048:             reason = null;
 1049:             int currentBindposes = current.bindposes?.Length ?? 0;
 1050:             int replacementBindposes = replacement.bindposes?.Length ?? 0;
 1051:             bool currentSkinned = currentBindposes > 0;
 1052:             bool replacementSkinned = replacementBindposes > 0;
 1053: 
 1054:             if (currentSkinned && !replacementSkinned)
 1055:             {
 1056:                 reason =
 1057:                     $"vanilla mesh '{current.name}' has {currentBindposes} bindpose(s) but replacement " +
 1058:                     $"'{replacement.name}' is static (0 bindposes) — swap would freeze procedural animation (#973)";
 1059:                 return false;
 1060:             }
 1061: 
 1062:             if (currentSkinned && replacementSkinned && currentBindposes != replacementBindposes)
 1063:             {
 1064:                 reason =
 1065:                     $"bindpose count mismatch for '{replacement.name}': vanilla={currentBindposes} " +
 1066:                     $"replacement={replacementBindposes} — retarget to DINO reference skeleton before swap";
 1067:                 return false;
 1068:             }
 1069: 
 1070:             return true;
 1071:         }
 1072: 
 1073:         private static Type? _renderMeshType;
 1074:         private static bool _renderMeshResolved;
 1075:         // #608 P2: tracks which HRV variant was resolved so callers (mesh-swap path) can

exec
"C:\\Program Files\\PowerShell\\7\\pwsh.exe" -Command '$path='"'src/Runtime/Bridge/AssetSwapSystem.cs'; "'$lines=Get-Content $path; 54..90 | ForEach-Object { '"'{0,5}: {1}' -f "'$_, $lines[$_-1] }' in C:\Users\koosh\Dino\.claude\worktrees\swapguard
 succeeded in 418ms:
   54:     public class AssetSwapSystem : SystemBase
   55:     {
   56:         /// <summary>
   57:         /// Cache of loaded AssetBundles (LRU with max 10 bundles, auto-unload on eviction).
   58:         /// </summary>
   59:         private readonly AssetBundleCache _loadedBundles = new AssetBundleCache(maxSize: 10);
   60: 
   61:         /// <summary>
   62:         /// Tracks asset addresses that have already had their first failure logged.
   63:         /// Subsequent failures for the same address are logged at Debug level to reduce noise.
   64:         /// </summary>
   65:         private readonly HashSet<string> _reportedFailures = new HashSet<string>(StringComparer.Ordinal);
   66: 
   67:         /// <summary>
   68:         /// #992: Bundles (keyed by mod bundle path) that have PERMANENTLY failed to yield a usable
   69:         /// swap — stub bundles (the 13 #986 90-byte stubs), bundles with no renderable mesh, or
   70:         /// hard load errors. These can never succeed, yet AssetSwapRegistry keeps them pending and
   71:         /// the swap retries them EVERY frame, re-loading the bundle each pass → the per-frame
   72:         /// 'another AssetBundle with the same files is already loaded' flood. Once a bundle is in
   73:         /// this set we skip it entirely (logged once, then silent), stopping the flood for all stub
   74:         /// bundles while leaving working swaps (units/cims/buildings) untouched.
   75:         /// </summary>
   76:         private readonly HashSet<string> _permanentlyFailedBundles = new HashSet<string>(StringComparer.OrdinalIgnoreCase);
   77: 
   78:         private int _frameCount;
   79: 
   80:         /// <summary>Whether the one-shot vanilla mesh diagnostic dump has been emitted.</summary>
   81:         private bool _vanillaMeshDumpDone;
   82: 
   83:         /// <summary>
   84:         /// Maximum number of entities to swap per bundle invocation.
   85:         /// Safety cap to prevent replacing the entire world with one mesh.
   86:         /// </summary>
   87:         private const int MaxSwapsPerBundle = 500;
   88: 
   89:         /// <summary>
   90:         /// Declarative map from a pack <c>vanilla_mapping</c> value to the vanilla DINO mesh-name

2026-06-01T01:46:55.590364Z ERROR codex_core::tools::router: error=apply_patch verification failed: Failed to find expected lines in C:\Users\koosh\Dino\.claude\worktrees\swapguard\src\Runtime\Bridge\AssetSwapSystem.cs:
        /// Once a bundle is in
        /// this set we skip it entirely (logged once, then silent), stopping the flood for all stub
        /// bundles while leaving working swaps (units/cims/buildings) untouched.
        /// </summary>
        private readonly HashSet<string> _permanentlyFailedBundles = new HashSet<string>(StringComparer.OrdinalIgnoreCase);
exec
"C:\\Program Files\\PowerShell\\7\\pwsh.exe" -Command '$path='"'src/Runtime/Bridge/AssetSwapSystem.cs'; "'$lines=Get-Content $path; 64..80 | ForEach-Object { '"'{0,5}: {1}' -f "'$_, $lines[$_-1] }' in C:\Users\koosh\Dino\.claude\worktrees\swapguard
 succeeded in 494ms:
   64:         /// </summary>
